csv
問題;答え
担当者の名前は？;萬代雅希
授業資料はいつまでにMoodleにアップロードされる？;授業前日の正午まで
成績評価の内訳は？;リアクションペーパー30%、中間試験35%、期末試験35%
分散コンピューティングのアーキテクチャとは？;地理的に分散した複数のコンピュータがネットワークを介して協調動作することで高度なサービスを提供するアーキテクチャ
授業の前半で学ぶ内容は？;ネットワークのしくみ、OSI参照モデルと各層の役割、TCP/IP
授業の後半で学ぶ内容は？;ウェブアプリケーションのしくみ、クライアントサーバシステム、WWW、HTML、HTTP、静的なウェブサイトと動的なウェブサイト、PHP、JavaScript、Cookie、データベース
ウェブサーバの負荷分散の方法は？;キャッシュ、複製、P2P
セキュリティ対策の一例は？;ファイアウォール、NAT、HTTPS
クラウドコンピューティングのサービスモデルは？;IaaS、PaaS、SaaS
GAFAMとは？;Google、Apple、Facebook、Amazon、Microsoft
OSI参照モデルの中位層とは？;ネットワーク層、トランスポート層
OSI参照モデルの上位層とは？;セッション層、プレゼンテーション層、アプリケーション層
クライアントサーバシステムとは？;クライアントがサーバにリクエストを送り、サーバが応答するシステム
HTTPとは？;HyperText Transfer Protocol
Cookieとは？;ウェブサイトがユーザのブラウザに保存する小さなデータ
動的なウェブページとは？;ユーザの入力や操作に応じて内容が変わるウェブページ
ウェブサーバの負荷分散の目的は？;サーバの負荷を分散し、応答速度を向上させること
クラウドコンピューティングの利点は？;スケーラビリティ、コスト効率、柔軟性
DNSサーバの役割は？;ドメイン名とIPアドレスの対応付けを管理する
IPアドレスとは？;コンピュータの住所（32ビット）
MACアドレスとは？;ネットワークインターフェースカードの物理アドレス
www.sophia.ac.jpの意味は？;日本の教育機関の上智大学のwwwというコンピュータ
www.bbc.co.ukの意味は？;イギリスの企業のBBCのwwwというコンピュータ
seas.harvard.eduの意味は？;アメリカの教育機関のハーバード大学のseasというコンピュータ
ホスト名とは？;コンピュータの住所
IPアドレスとMACアドレスの違いは？;IPアドレスは最終目的地のアドレス、MACアドレスは次に行く場所のアドレス
180,000ビットは何個の10,000ビットで構成される？;18個
