問題;答え
R>0のとき、C(z)はどのように定義されるか？;C(z) = f(z) / z
zが0でないとき、C(z)はどのように定義されるか？;C(z) = f(z) / z
C(z)がwell-definedであるための条件は？;z ≠ 0
C(z1)C(z2)がwell-definedであるための条件は？;z1 ≠ 0 かつ z2 ≠ 0
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
Z/nZからZ/nZへの写像faはどのように定義されるか？;fa: Z/nZ -> Z/nZ, [x] -> [ax]
faがwell-definedであるための条件は？;aがZ/nZの元であること
faがwell-definedであるための条件は？;aがZ/nZの元であること
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
Z/61Zにおける[17]の逆元は？;[17]^-1
C(z)がwell-definedであるための条件は？;z ≠ 0
C(z1)C(z2)がwell-definedであるための条件は？;z1 ≠ 0 かつ z2 ≠ 0
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
Z/nZからZ/nZへの写像faはどのように定義されるか？;fa: Z/nZ -> Z/nZ, [x] -> [ax]
faがwell-definedであるための条件は？;aがZ/nZの元であること
faがwell-definedであるための条件は？;aがZ/nZの元であること
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
Z/61Zにおける[17]の逆元は？;[17]^-1
C(z)がwell-definedであるための条件は？;z ≠ 0
C(z1)C(z2)がwell-definedであるための条件は？;z1 ≠ 0 かつ z2 ≠ 0
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
Z/nZからZ/nZへの写像faはどのように定義されるか？;fa: Z/nZ -> Z/nZ, [x] -> [ax]
faがwell-definedであるための条件は？;aがZ/nZの元であること
faがwell-definedであるための条件は？;aがZ/nZの元であること
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
Z/61Zにおける[17]の逆元は？;[17]^-1
C(z)がwell-definedであるための条件は？;z ≠ 0
C(z1)C(z2)がwell-definedであるための条件は？;z1 ≠ 0 かつ z2 ≠ 0
nが13のとき、aが4である場合のfaの逆関数は？;f^-1_4
