問題;答え
ディジタル署名の主な目的は何ですか？;メッセージの改ざんや成りすましを検出し、送信者が真の送信者であることを保証することです。
公開鍵暗号に基づくディジタル署名方式の問題点は何ですか？;公開鍵が真の所有者のものであることが大前提であることです。
ディジタル署名の検証に使用される鍵は何ですか？;公開鍵です。
ディジタル署名の生成に使用される鍵は何ですか？;秘密鍵です。
メッセージ認証符号（MAC）の弱点は何ですか？;同じ秘密鍵を共有していることに起因します。
ディジタル署名の検証を行うのは誰ですか？;任意の受信者です。
ディジタル署名の生成を行うのは誰ですか？;送信者です。
公開鍵証明書の主な役割は何ですか？;公開鍵が真の所有者のものであることを確認することです。
公開鍵証明書を発行する機関は何と呼ばれますか？;認証局（Certification Authority: CA）です。
公開鍵証明書の標準規格は何ですか？;X.509です。
ブラインド署名方式が必要とされる理由は何ですか？;文書の内容を署名者に隠したまま署名を得るためです。
電子投票におけるブラインド署名の役割は何ですか？;投票内容を秘密にしたまま、投票の有効性を署名により保証することです。
電子現金におけるブラインド署名の役割は何ですか？;使用者を秘密にしたまま、電子現金の有効性を署名により保証することです。
一方向性ハッシュ関数の主な特徴は何ですか？;一方向性であり、ハッシュ値の計算が高速であることです。
一方向性ハッシュ関数がディジタル署名に利用される理由は何ですか？;署名の偽造が困難になるためです。
ディジタル署名において、メッセージの改ざんや成りすましを検出するために使用される技術は何ですか？;一方向性ハッシュ関数です。
ディジタル署名において、否認を防止するために使用される技術は何ですか？;秘密鍵による署名です。
公開鍵暗号において、誰でも暗号化できる鍵は何ですか？;公開鍵です。
公開鍵暗号において、誰でも署名検証できる鍵は何ですか？;公開鍵です。
公開鍵暗号において、秘密鍵の所有者だけができることは何ですか？;復号化と署名作成です。
ディジタル署名において、署名の検証が成功する条件は何ですか？;メッセージと署名が一致することです。
認証局が発行する証明書に含まれる情報は何ですか？;氏名、所属、メールアドレスなどの個人情報と公開鍵です。
認証局の役割は何ですか？;公開鍵が確かにその個人のものであることを認めることです。
ルートCAの役割は何ですか？;他の認証局の公開鍵の正当性を保証することです。
ディジタル署名の利用において、公開鍵が真の所有者のものであることを確認するために使用される技術は何ですか？;証明書です。
証明書の無限連鎖問題とは何ですか？;公開鍵の所有者の正当性を保証するために証明書が無限に必要になることです。
ディジタル署名の主な利点は何ですか？;メッセージの改ざんや成りすましの検出と否認の防止です。
公開鍵暗号の逆利用とは何ですか？;公開鍵で暗号化し、秘密鍵で復号化することです。
ディジタル署名において、署名の生成に使用される鍵は何ですか？;秘密鍵です。
ディジタル署名において、署名の検証に使用される鍵は何ですか？;公開鍵です。
