csv
問題;答え
担当者の名前は？;萬代雅希
授業資料はいつまでにMoodleにアップロードされる？;授業前日の正午まで
成績評価の内訳は？;リアクションペーパー30%、中間試験35%、期末試験35%
分散コンピューティングのアーキテクチャとは？;地理的に分散した複数のコンピュータがネットワークを介して協調動作することで高度なサービスを提供するアーキテクチャ
この授業の前半で学ぶ内容は？;ネットワークのしくみ、OSI参照モデルと各層の役割、TCP/IP
この授業の後半で学ぶ内容は？;ウェブアプリケーションのしくみ、クライアントサーバシステム、WWW、HTML、HTTP、静的なウェブサイトと動的なウェブサイト、PHP、JavaScript、Cookie、データベース
ウェブサーバの負荷分散の方法は？;キャッシュ、複製、P2P
セキュリティに関する技術は？;ファイアウォール、NAT、HTTPS
クラウドコンピューティングのサービスモデルは？;IaaS、PaaS、SaaS
GAFAMとは？;Google、Apple、Facebook、Amazon、Microsoft
OSI参照モデルの中位層とは？;ネットワーク層、トランスポート層
OSI参照モデルの上位層とは？;セッション層、プレゼンテーション層、アプリケーション層
クライアントサーバシステムとは？;クライアントがサーバにリクエストを送り、サーバがそれに応じてサービスを提供するシステム
HTTPとクッキーの関係は？;HTTPはクッキーを使用してユーザの状態を管理する
動的なウェブページとデータベースの関係は？;動的なウェブページはデータベースからデータを取得して表示する
ウェブサーバの負荷分散の目的は？;サーバの負荷を分散して性能を向上させる
セキュリティの目的は？;データの保護と不正アクセスの防止
クラウドコンピューティングの利点は？;スケーラビリティ、コスト効率、柔軟性
www.sophia.ac.jpの意味は？;日本の教育機関の上智大学のwwwというコンピュータ
www.bbc.co.ukの意味は？;イギリスの企業のBBCのwwwというコンピュータ
seas.harvard.eduの意味は？;アメリカの教育機関のハーバード大学のseasというコンピュータ
ホスト名とは？;コンピュータの住所
IPアドレスとは？;コンピュータの住所（32ビット）
DNSサーバの役割は？;ドメイン名とIPアドレスの対応付けを管理する
DNSサーバが利用する技術は？;分散データベース
IPアドレスとMACアドレスの違いは？;IPアドレスは最終目的地のアドレス、MACアドレスは次に行く場所のアドレス
180,000ビットは何個の10,000ビットで構成される？;18個
スマートフォンがデータ要求を送信する際の流れは？;スマートフォンがデータ要求を送信、インターネットを通じてウェブサーバに到達、ウェブサーバは要求されたデータを返送
