
問題;答え
担当者の名前は？;萬代雅希
授業資料はいつまでにMoodleにアップロードされる？;授業前日の正午まで
成績評価の内訳は？;リアクションペーパー30%、中間試験35%、期末試験35%
分散コンピューティングのアーキテクチャとは？;地理的に分散した複数のコンピュータがネットワークを介して協調動作することで高度なサービスを提供するアーキテクチャ
授業の前半で学ぶ内容は？;ネットワークのしくみ、OSI参照モデルと各層の役割、TCP/IP
授業の後半で学ぶ内容は？;ウェブアプリケーションのしくみ、クライアントサーバシステム、WWW、HTML、HTTP、静的なウェブサイトと動的なウェブサイト、PHP、JavaScript、Cookie、データベース
ウェブサーバの負荷分散の方法は？;キャッシュ、複製、P2P
セキュリティ対策の一例は？;ファイアウォール、NAT、HTTPS
クラウドコンピューティングのサービスモデルは？;IaaS、PaaS、SaaS
GAFAMとは？;Google、Apple、Facebook、Amazon、Microsoft
OSI参照モデルの中位層とは？;ネットワーク層、トランスポート層
クライアントサーバシステムとは？;クライアントがサーバにリクエストを送り、サーバがそれに応じてサービスを提供するシステム
HTTPとクッキーの関係は？;HTTPはクッキーを使用してユーザ情報を管理する
動的なウェブページとデータベースの関係は？;動的なウェブページはデータベースからデータを取得して表示する
ウェブサーバの負荷分散の目的は？;サーバの負荷を分散して効率的に処理するため
DNSサーバの役割は？;ドメイン名とIPアドレスの対応付けを管理する
IPアドレスとは？;コンピュータの住所（32ビット）
MACアドレスとは？;次に行く場所のアドレス
www.sophia.ac.jpの意味は？;日本の教育機関の上智大学のwwwというコンピュータ
www.bbc.co.ukの意味は？;イギリスの企業のBBCのwwwというコンピュータ
seas.harvard.eduの意味は？;アメリカの教育機関のハーバード大学のseasというコンピュータ
ホスト名とは？;コンピュータの住所
DNSサーバが利用する技術は？;分散データベース
IPアドレスとMACアドレスの例え話での最終目的地は？;大阪駅
IPアドレスとMACアドレスの例え話での次に行く場所は？;新大阪駅
180,000ビットは何個の10,000ビットで構成される？;18個
スマートフォンがデータ要求を送信する際の流れは？;スマートフォンがデータ要求を送信→インターネットを通じてウェブサーバに到達→ウェブサーバは要求されたデータを返送
