;Unnamed: 0;問題;答え;id
0;30.0;ディジタル署名の主な目的は何ですか？;メッセージの改ざんや成りすましを検出し、送信者が真の送信者であることを保証することです。;3d2c4b51-aa5a-42b0-a332-8423498105df
1;31.0;公開鍵暗号に基づくディジタル署名方式の問題点は何ですか？;公開鍵が真の所有者のものであることが大前提であることです。;3d2c4b51-aa5a-42b0-a332-8423498105df
2;32.0;ディジタル署名の検証に使用される鍵は何ですか？;公開鍵です。;3d2c4b51-aa5a-42b0-a332-8423498105df
3;33.0;ディジタル署名の生成に使用される鍵は何ですか？;秘密鍵です。;3d2c4b51-aa5a-42b0-a332-8423498105df
4;34.0;メッセージ認証符号（MAC）の弱点は何ですか？;同じ秘密鍵を共有していることに起因します。;3d2c4b51-aa5a-42b0-a332-8423498105df
5;35.0;ディジタル署名の利用により防止できることは何ですか？;否認の防止です。;3d2c4b51-aa5a-42b0-a332-8423498105df
6;36.0;ブラインド署名方式が必要とされる理由は何ですか？;文書の内容を署名者に隠したまま署名をつけたい場合です。;3d2c4b51-aa5a-42b0-a332-8423498105df
7;37.0;公開鍵証明書の実体は何ですか？;電子ファイルです。;3d2c4b51-aa5a-42b0-a332-8423498105df
8;38.0;公開鍵証明書に含まれる情報は何ですか？;氏名、所属、メールアドレスなどの個人情報と公開鍵、認証局のディジタル署名です。;3d2c4b51-aa5a-42b0-a332-8423498105df
9;39.0;認証局（CA）の役割は何ですか？;公開鍵が確かにその個人のものであることを認めることです。;3d2c4b51-aa5a-42b0-a332-8423498105df
10;40.0;X.509とは何ですか？;証明書の標準規格です。;3d2c4b51-aa5a-42b0-a332-8423498105df
11;41.0;ルートCAの役割は何ですか？;他の認証局の公開鍵の所有者を保証することです。;3d2c4b51-aa5a-42b0-a332-8423498105df
12;42.0;一方向性ハッシュ関数の利用により何が困難になりますか？;署名の偽造が困難になります。;3d2c4b51-aa5a-42b0-a332-8423498105df
13;43.0;ディジタル署名の検証に失敗する場合はどのような場合ですか？;メッセージと署名が一致しない場合です。;3d2c4b51-aa5a-42b0-a332-8423498105df
14;44.0;公開鍵暗号を逆に利用するとはどういう意味ですか？;秘密鍵で暗号化し、公開鍵で復号化することです。;3d2c4b51-aa5a-42b0-a332-8423498105df
15;45.0;ディジタル署名の生成に必要なものは何ですか？;秘密鍵とメッセージです。;3d2c4b51-aa5a-42b0-a332-8423498105df
16;46.0;ディジタル署名の検証に必要なものは何ですか？;公開鍵と署名です。;3d2c4b51-aa5a-42b0-a332-8423498105df
17;47.0;電子投票におけるブラインド署名の利用目的は何ですか？;投票内容を秘密にしたまま、投票の有効性を保証することです。;3d2c4b51-aa5a-42b0-a332-8423498105df
18;48.0;電子現金におけるブラインド署名の利用目的は何ですか？;使用者を秘密にしたまま、電子現金の有効性を保証することです。;3d2c4b51-aa5a-42b0-a332-8423498105df
19;49.0;ディジタル署名の主な利点は何ですか？;改ざんや成りすましの検出と否認の防止です。;3d2c4b51-aa5a-42b0-a332-8423498105df
20;50.0;公開鍵証明書が必要とされる理由は何ですか？;公開鍵が真の所有者のものであることを確認するためです。;3d2c4b51-aa5a-42b0-a332-8423498105df
21;51.0;認証局の公開鍵を用いて保証されるものは何ですか？;公開鍵がその個人のものであることです。;3d2c4b51-aa5a-42b0-a332-8423498105df
22;52.0;ディジタル署名の検証に失敗した場合、何が疑われますか？;メッセージが改ざんされたか、署名が偽造された可能性があります。;3d2c4b51-aa5a-42b0-a332-8423498105df
23;53.0;公開鍵暗号に基づくディジタル署名方式の利点は何ですか？;誰でも署名を検証できることです。;3d2c4b51-aa5a-42b0-a332-8423498105df
24;54.0;ディジタル署名の生成において、秘密鍵の所有者だけができることは何ですか？;署名の作成です。;3d2c4b51-aa5a-42b0-a332-8423498105df
25;55.0;ディジタル署名の検証において、公開鍵の所有者だけができることは何ですか？;署名の検証です。;3d2c4b51-aa5a-42b0-a332-8423498105df
26;56.0;公開鍵証明書の発行者は誰ですか？;認証局（CA）です。;3d2c4b51-aa5a-42b0-a332-8423498105df
27;57.0;ディジタル署名の利用により、送信者が否認できない理由は何ですか？;署名が送信者の秘密鍵で生成されているためです。;3d2c4b51-aa5a-42b0-a332-8423498105df
28;58.0;公開鍵証明書の標準規格は何ですか？;X.509です。;3d2c4b51-aa5a-42b0-a332-8423498105df
