問題;答え
Pythonの基本データ型の一つで、整数を表す型は何ですか？;int
Pythonで文字列を表すデータ型は何ですか？;str
Pythonでリストを作成するための記号は何ですか？;[]
Pythonで辞書を作成するための記号は何ですか？;{}
Pythonでタプルを作成するための記号は何ですか？;()
Pythonで変数に値を代入するための記号は何ですか？;=
Pythonでコメントを記述するための記号は何ですか？;#
Pythonで関数を定義するためのキーワードは何ですか？;def
Pythonで条件分岐を行うためのキーワードは何ですか？;if
Pythonでループを行うためのキーワードは何ですか？;for
Pythonで無限ループを作成するためのキーワードは何ですか？;while
Pythonでリストの要素数を取得するための関数は何ですか？;len()
Pythonで文字列の長さを取得するための関数は何ですか？;len()
Pythonでリストに要素を追加するためのメソッドは何ですか？;append()
Pythonでリストから要素を削除するためのメソッドは何ですか？;remove()
Pythonでリストの特定の位置に要素を挿入するためのメソッドは何ですか？;insert()
Pythonでリストを逆順にするためのメソッドは何ですか？;reverse()
Pythonでリストをソートするためのメソッドは何ですか？;sort()
Pythonで辞書のキーを取得するためのメソッドは何ですか？;keys()
Pythonで辞書の値を取得するためのメソッドは何ですか？;values()
Pythonで辞書のキーと値のペアを取得するためのメソッドは何ですか？;items()
Pythonで文字列を大文字に変換するためのメソッドは何ですか？;upper()
Pythonで文字列を小文字に変換するためのメソッドは何ですか？;lower()
Pythonで文字列の特定の部分を置換するためのメソッドは何ですか？;replace()
Pythonで文字列を特定の文字で分割するためのメソッドは何ですか？;split()
Pythonで文字列を特定の文字で結合するためのメソッドは何ですか？;join()
Pythonで例外を発生させるためのキーワードは何ですか？;raise
Pythonで例外をキャッチするためのキーワードは何ですか？;try
Pythonで例外が発生した場合に実行するためのキーワードは何ですか？;except
Pythonでファイルを開くための関数は何ですか？;open()
