問題;答え
ディジタル署名の主な目的は何ですか？;メッセージの改ざんや成りすましを検出し、送信者が真の送信者であることを保証することです。
公開鍵暗号に基づくディジタル署名方式の問題点は何ですか？;公開鍵が真の所有者のものであることが大前提であることです。
ディジタル署名の検証に使用される鍵は何ですか？;公開鍵です。
ディジタル署名の生成に使用される鍵は何ですか？;秘密鍵です。
メッセージ認証符号（MAC）の弱点は何ですか？;同じ秘密鍵を共有していることに起因します。
ディジタル署名方式でメッセージの署名を作成するのは誰ですか？;送信者です。
ディジタル署名方式でメッセージの署名を検証するのは誰ですか？;受信者です。
公開鍵証明書の主な役割は何ですか？;公開鍵が真の所有者のものであることを確認することです。
公開鍵証明書を発行する機関は何と呼ばれますか？;認証局（Certification Authority: CA）です。
公開鍵証明書の標準規格は何ですか？;X.509です。
ブラインド署名方式の必要性は何ですか？;文書の内容を署名者に隠したまま署名を得ることです。
電子投票におけるブラインド署名の役割は何ですか？;投票内容を秘密にしたまま、投票の有効性を署名により保証することです。
電子現金におけるブラインド署名の役割は何ですか？;使用者を秘密にしたまま、電子現金の有効性を署名により保証することです。
一方向性ハッシュ関数の主な特徴は何ですか？;一方向性であり、ハッシュ値の計算が高速であることです。
一方向性ハッシュ関数を使用する理由は何ですか？;署名の偽造を困難にするためです。
ディジタル署名で否認を防止するためには何が必要ですか？;公開鍵が真の所有者のものであることを証明することです。
ディジタル署名の検証に失敗する原因は何ですか？;メッセージが改ざんされているか、署名が偽造されている場合です。
公開鍵暗号方式でメッセージを暗号化するために使用される鍵は何ですか？;公開鍵です。
公開鍵暗号方式で暗号文を復号化するために使用される鍵は何ですか？;秘密鍵です。
ディジタル署名の生成において、誰が秘密鍵を所有していますか？;署名者です。
ディジタル署名の検証において、誰が公開鍵を使用しますか？;受信者です。
公開鍵証明書に含まれる情報は何ですか？;氏名、所属、メールアドレスなどの個人情報と公開鍵です。
認証局が発行する証明書に含まれる署名は何ですか？;認証局のディジタル署名です。
公開鍵証明書の信頼性を保証するために必要なものは何ですか？;認証局の公開鍵です。
ルートCAの役割は何ですか？;他の認証局の公開鍵の信頼性を保証することです。
ディジタル署名の利用において、公開鍵暗号が逆に利用される理由は何ですか？;送信者が真の送信者であることを保証するためです。
証明書の無限連鎖問題とは何ですか？;公開鍵の所有者の正当性を証明するために証明書が無限に必要になる問題です。
ディジタル署名の検証において、ハッシュ関数が使用される理由は何ですか？;メッセージの改ざんを検出するためです。
ディジタル署名の生成において、メッセージのハッシュ値を計算する理由は何ですか？;メッセージの改ざんを検出するためです。
公開鍵証明書の発行プロセスにおいて、認証局が行うことは何ですか？;公開鍵に対してディジタル署名を行うことです。
