
問題;答え
深澤佑介が2002〜2004年に研究していた内容は何ですか？;ロボットの行動制御
深澤佑介が2008〜2011年に研究していた内容は何ですか？;情報推薦
深澤佑介が2020年7月から担当している役職は何ですか？;秘書室課長
深澤佑介が2022年7月から担当している役職は何ですか？;データプラットフォーム部担当部長
深澤佑介が2023年4月から就任した役職は何ですか？;上智大学大学院准教授
深澤佑介の研究テーマは何ですか？;異種混合の人間行動データを統合的に処理、解析し、個々人に最適なパーソナライゼーションの提供や時空間データマイニングによるビジネス課題解決につなげる方法論の構築
パーソナライゼーションに関する研究成果の一例を挙げてください。;スマホお困りごと予測
時空間データマイニングに関する研究開発の一例を挙げてください。;タクシー需要予測
教師あり学習のデータ活用事例を一つ挙げてください。;アップセル/クロスセル/ターゲティング
教師なし学習のデータ活用事例を一つ挙げてください。;顧客クラスタリング
時系列分析のデータ活用事例を一つ挙げてください。;売上予測
自然言語処理のデータ活用事例を一つ挙げてください。;アンケート分析
成績評価の内訳で最も重い割合を占めるのは何ですか？;リアクションペーパー（50.0％）
AIの究極の難問の一つは何ですか？;小さくて遅い脳がそれよりはるかに大きくて複雑な世界を理解し、予測し、そして操作できるのか
AIの歴史において、初めて「Artificial Intelligence」が使われた会議は何ですか？;ダートマス会議
第1次AIブームの代表的なシステムは何ですか？;MYCIN
第2次AIブームの代表的なシステムは何ですか？;エキスパートシステム
第3次AIブームを加速させた技術は何ですか？;深層学習
深層学習が物体の認識率を競うILSVRCで達成した改善率は何％ですか？;10%
生成AIの一例として、音楽に関する応用を挙げてください。;オリジナルの音楽作品を作成
AIの未来に関するディストピア的な予想の一つは何ですか？;完全に自律したAI兵器が生まれる可能性
AIの産業応用の4つの波のうち、第1波は何ですか？;インターネットAI
AIの産業応用の4つの波のうち、第2波は何ですか？;ビジネスAI
AIの産業応用の4つの波のうち、第3波は何ですか？;知覚AI
AIの産業応用の4つの波のうち、第4波は何ですか？;自律AI
深澤佑介が研究しているメンタルヘルスに関するテーマの一つは何ですか？;SNSデータからのメンタルヘルス不調検知と原因解釈
深澤佑介が研究しているモビリティに関するテーマの一つは何ですか？;シェアサイクルの需要予測
深澤佑介が研究しているビジネス応用に関するテーマの一つは何ですか？;資格試験の需要予測
深澤佑介が研究している一次産業に関するテーマの一つは何ですか？;エビの個体数を迅速かつ正確に把握するための画像検出技術
