
問題;答え
担当者の名前は？;萬代雅希
授業資料はいつまでにMoodleにアップロードされる？;授業前日の正午まで
成績評価の内訳は？;リアクションペーパー30%、中間試験35%、期末試験35%
分散コンピューティングのアーキテクチャは何を提供する？;高度なサービスをユーザに提供する
OSI参照モデルの役割は？;ネットワークのしくみを説明する
TCP/IPは何のプロトコル？;ネットワーク通信プロトコル
クライアントサーバシステムとは？;クライアントとサーバが協力して動作するシステム
WWWの意味は？;World Wide Web
HTMLとHTTPの違いは？;HTMLはウェブページのマークアップ言語、HTTPは通信プロトコル
静的なウェブサイトと動的なウェブサイトの違いは？;静的なウェブサイトは固定された内容、動的なウェブサイトはユーザの入力に応じて変わる
PHPとJavaScriptの違いは？;PHPはサーバサイドスクリプト言語、JavaScriptはクライアントサイドスクリプト言語
Cookieの役割は？;ユーザ情報を保存する
ウェブサーバの負荷分散とは？;複数のサーバに負荷を分散させる技術
キャッシュの役割は？;データの一時保存
P2Pの意味は？;Peer-to-Peer
ファイアウォールの役割は？;ネットワークのセキュリティを保護する
NATの意味は？;Network Address Translation
HTTPSの役割は？;セキュアな通信を提供する
クラウドコンピューティングの種類は？;IaaS, PaaS, SaaS
GAFAMの意味は？;Google, Apple, Facebook, Amazon, Microsoft
OSI参照モデルの中位層は？;トランスポート層、ネットワーク層
クライアントサーバシステムの例は？;ウェブブラウザとウェブサーバ
HTTPの役割は？;ウェブページのデータを転送する
DNSサーバの役割は？;ドメイン名とIPアドレスの対応付けを管理する
IPアドレスの役割は？;コンピュータの住所を示す
MACアドレスの役割は？;ネットワークインターフェースの固有の識別子
新宿駅から大阪駅までのIPアドレスの例え話は？;最終目的地のアドレス
新宿駅から大阪駅までのMACアドレスの例え話は？;次に行く場所のアドレス
www.sophia.ac.jpの意味は？;日本の教育機関の上智大学のwwwというコンピュータ
www.bbc.co.ukの意味は？;イギリスの企業のBBCのwwwというコンピュータ
seas.harvard.eduの意味は？;アメリカの教育機関のハーバード大学のseasというコンピュータ
